Hs_bin,Tp_bin,Dir16,conteo,Hs_mean,Tp_mean,Dp_mean,porcentaje
0.5–1.0,2.0–5.0,SSE,14,0.6821428571428572,3.917857142857143,165.57142857142858,0.003498023616656589
0.5–1.0,2.0–5.0,S,6,0.8283333333333333,4.741666666666666,174.5,0.0014991529785671096
0.5–1.0,5.0–8.0,S,53,0.710566037735849,5.547735849056603,179.79245283018867,0.013242517977342801
0.5–1.0,5.0–8.0,SSO,17,0.5647058823529412,6.145882352941177,196.35294117647058,0.004247600105940144
0.5–1.0,8.0–11.0,S,69,0.8826086956521739,8.454057971014493,173.7826086956522,0.01724025925352176
0.5–1.0,8.0–11.0,SO,4,0.9675,10.87,230.25,0.0009994353190447398
0.5–1.0,11.0–14.0,SSE,54,0.682037037037037,13.290185185185184,162.96296296296296,0.013492376807103986
0.5–1.0,11.0–14.0,S,34,0.7052941176470588,13.484117647058824,172.26470588235293,0.008495200211880287
0.5–1.0,11.0–14.0,SSO,4,0.9425,13.075,212.5,0.0009994353190447398
0.5–1.0,11.0–14.0,SO,6,0.9216666666666667,11.909999999999998,223.0,0.0014991529785671096
0.5–1.0,14.0–17.0,S,81,0.7346913580246913,14.869506172839507,173.71604938271605,0.02023856521065598
0.5–1.0,17.0–20.0,SSE,19,0.7394736842105264,18.91578947368421,159.94736842105263,0.004747317765462514
0.5–1.0,17.0–20.0,S,1,0.7,17.24,169.0,0.00024985882976118494
0.5–1.0,17.0–20.0,SO,1,0.98,19.61,216.0,0.00024985882976118494
0.5–1.0,20.0–23.0,SO,2,0.925,21.28,217.5,0.0004997176595223699
1.0–1.5,5.0–8.0,S,21,1.369047619047619,7.281904761904761,183.0,0.005247035424984884
1.0–1.5,8.0–11.0,S,347,1.3885302593659943,9.686916426512969,185.4063400576369,0.08670101392713117
1.0–1.5,8.0–11.0,SSO,1300,1.371676923076923,10.559692307692307,203.39615384615385,0.3248164786895404
1.0–1.5,8.0–11.0,SO,540,1.3212407407407407,10.799518518518518,219.5574074074074,0.13492376807103987
1.0–1.5,8.0–11.0,OSO,1,1.42,8.93,241.0,0.00024985882976118494
1.0–1.5,11.0–14.0,SSE,22,1.1245454545454547,13.02909090909091,165.0909090909091,0.005496894254746068
1.0–1.5,11.0–14.0,S,53,1.3826415094339624,12.904528301886794,183.8490566037736,0.013242517977342801
1.0–1.5,11.0–14.0,SSO,3907,1.3973406705912463,12.209541847965191,207.19861786536984,0.9761984478769495
1.0–1.5,11.0–14.0,SO,6613,1.3835551187055801,12.478822017238771,221.2315136851656,1.6523164412107159
1.0–1.5,11.0–14.0,OSO,604,1.3453476821192054,12.994933774834436,243.21688741721854,0.1509147331757557
1.0–1.5,11.0–14.0,O,141,1.3127659574468085,13.227801418439716,268.0851063829787,0.03523009499632707
1.0–1.5,11.0–14.0,ONO,72,1.2998611111111111,13.311944444444444,289.15277777777777,0.017989835742805316
1.0–1.5,14.0–17.0,SSE,20,1.314,15.569999999999999,166.5,0.004997176595223698
1.0–1.5,14.0–17.0,S,176,1.2592045454545455,15.066420454545455,176.0340909090909,0.04397515403796855
1.0–1.5,14.0–17.0,SSO,623,1.4139325842696628,14.980609951845906,206.9341894060995,0.1556620509412182
1.0–1.5,14.0–17.0,SO,1957,1.3996423096576391,15.112498722534491,223.22738886050075,0.4889737298426389
1.0–1.5,14.0–17.0,OSO,618,1.3983980582524271,14.904271844660194,245.52912621359224,0.1544127567924123
1.0–1.5,14.0–17.0,O,597,1.3692964824120604,14.912696817420434,270.46566164154103,0.1491657213674274
1.0–1.5,14.0–17.0,ONO,1270,1.3744173228346457,15.362181102362205,294.0488188976378,0.31732071379670485
1.0–1.5,14.0–17.0,NO,91,1.3995604395604395,16.013516483516483,304.1098901098901,0.02273715350826783
1.0–1.5,17.0–20.0,SSE,36,1.2988888888888888,17.845555555555553,161.77777777777777,0.008994917871402658
1.0–1.5,17.0–20.0,S,35,1.3471428571428572,17.947999999999997,182.71428571428572,0.008745059041641473
1.0–1.5,17.0–20.0,SSO,89,1.4032584269662922,17.889887640449437,206.47191011235955,0.02223743584874546
1.0–1.5,17.0–20.0,SO,416,1.3828365384615384,17.943341346153844,222.0216346153846,0.10394127318065294
1.0–1.5,17.0–20.0,OSO,69,1.3997101449275362,18.047101449275363,242.6086956521739,0.01724025925352176
1.0–1.5,17.0–20.0,O,28,1.3975000000000002,18.047857142857143,273.9642857142857,0.006996047233313178
1.0–1.5,17.0–20.0,ONO,589,1.3762139219015281,18.107113752122242,299.13752122241084,0.1471668507293379
1.0–1.5,17.0–20.0,NO,192,1.413125,18.30515625,304.3697916666667,0.04797289531414751
1.0–1.5,20.0–23.0,SSO,5,1.462,21.464,198.4,0.0012492941488059246
1.0–1.5,20.0–23.0,SO,31,1.3664516129032258,21.181612903225805,220.67741935483872,0.0077456237225967325
1.0–1.5,20.0–23.0,O,1,1.35,20.0,280.0,0.00024985882976118494
1.0–1.5,20.0–23.0,ONO,57,1.409298245614035,21.252807017543862,302.2105263157895,0.014241953296387541
1.0–1.5,20.0–23.0,NO,31,1.4429032258064516,21.125806451612902,304.4193548387097,0.0077456237225967325
1.0–1.5,23.0–26.0,SO,5,1.44,23.37,215.4,0.0012492941488059246
1.0–1.5,23.0–26.0,ONO,16,1.348125,23.569375,303.0,0.003997741276178959
1.0–1.5,23.0–26.0,NO,6,1.3983333333333334,23.26,304.0,0.0014991529785671096
1.5–2.0,2.0–5.0,SSO,18,1.8938888888888887,4.17,210.5,0.004497458935701329
1.5–2.0,2.0–5.0,SO,20,1.7865000000000002,4.2165,214.8,0.004997176595223698
1.5–2.0,5.0–8.0,S,472,1.8316525423728813,7.3197457627118645,180.03813559322035,0.11793336764727928
1.5–2.0,5.0–8.0,SSO,50,1.7922,5.9412,205.04,0.012492941488059246
1.5–2.0,5.0–8.0,SO,3,1.9766666666666666,5.973333333333334,216.66666666666666,0.0007495764892835548
1.5–2.0,5.0–8.0,OSO,4,1.9725,6.23,240.25,0.0009994353190447398
1.5–2.0,8.0–11.0,S,3445,1.7912423802612483,9.843416545718432,184.79854862119012,0.860763668527282
1.5–2.0,8.0–11.0,SSO,2527,1.697495053423031,10.6600791452315,200.62960031658093,0.6313932628065143
1.5–2.0,8.0–11.0,SO,329,1.6495744680851065,10.811854103343466,218.27051671732522,0.08220355499142984
1.5–2.0,8.0–11.0,ONO,6,1.8016666666666667,10.89,297.1666666666667,0.0014991529785671096
1.5–2.0,11.0–14.0,SSE,4,1.5699999999999998,12.2,162.5,0.0009994353190447398
1.5–2.0,11.0–14.0,S,704,1.8165340909090908,11.669303977272728,188.61079545454547,0.1759006161518742
1.5–2.0,11.0–14.0,SSO,37032,1.7832790559516094,12.693991682868871,206.5399924389717,9.2527721837162
1.5–2.0,11.0–14.0,SO,36518,1.7447327345418697,12.980723204994797,220.72205487704693,9.124344745218952
1.5–2.0,11.0–14.0,OSO,1018,1.6928880157170922,13.313909626719056,242.09921414538312,0.25435628869688626
1.5–2.0,11.0–14.0,O,71,1.7383098591549295,13.524929577464789,267.2112676056338,0.01773997691304413
1.5–2.0,11.0–14.0,ONO,13,1.593076923076923,12.674615384615386,293.7692307692308,0.0032481647868954043
1.5–2.0,14.0–17.0,SSE,18,1.8677777777777775,15.899999999999999,162.44444444444446,0.004497458935701329
1.5–2.0,14.0–17.0,S,301,1.78531561461794,15.365182724252492,187.27242524916943,0.07520750775811666
1.5–2.0,14.0–17.0,SSO,14773,1.8292391525079537,14.890076490895552,207.3975495837,3.691164492061985
1.5–2.0,14.0–17.0,SO,31049,1.8079722374311573,14.953574028149056,222.12010048632806,7.757866805255031
1.5–2.0,14.0–17.0,OSO,4756,1.7599978973927668,15.049718250630784,245.4716148023549,1.1883285943441955
1.5–2.0,14.0–17.0,O,2698,1.7322831727205337,15.288124536693848,269.5059303187546,0.674119122695677
1.5–2.0,14.0–17.0,ONO,3991,1.7042019543973943,15.676289150588826,295.0338261087447,0.9971865895768891
1.5–2.0,14.0–17.0,NO,368,1.6874456521739132,16.059809782608692,304.25,0.09194804935211605
1.5–2.0,17.0–20.0,SSE,22,1.5827272727272728,17.512727272727272,162.54545454545453,0.005496894254746068
1.5–2.0,17.0–20.0,S,173,1.7679768786127168,18.01,186.07514450867052,0.043225577548684994
1.5–2.0,17.0–20.0,SSO,1848,1.8267478354978355,18.048652597402594,207.642316017316,0.46173911739866974
1.5–2.0,17.0–20.0,SO,5447,1.818692858454195,18.026812924545624,221.04552964934825,1.3609810457091742
1.5–2.0,17.0–20.0,OSO,542,1.7988560885608857,17.844963099630995,246.25276752767527,0.13542348573056223
1.5–2.0,17.0–20.0,O,546,1.80007326007326,17.88007326007326,271.0805860805861,0.13642292104960696
1.5–2.0,17.0–20.0,ONO,3240,1.7656141975308643,18.019114197530865,298.4364197530864,0.8095426084262392
1.5–2.0,17.0–20.0,NO,1547,1.764001292824822,18.44252100840336,304.3322559793148,0.3865316096405531
1.5–2.0,20.0–23.0,S,7,1.5685714285714287,20.844285714285714,187.28571428571428,0.0017490118083282945
1.5–2.0,20.0–23.0,SSO,214,1.8260280373831774,21.098785046728974,208.9626168224299,0.053469789568893575
1.5–2.0,20.0–23.0,SO,378,1.8493386243386243,21.057619047619045,220.86243386243387,0.09444663764972791
1.5–2.0,20.0–23.0,OSO,2,1.99,20.619999999999997,254.5,0.0004997176595223699
1.5–2.0,20.0–23.0,ONO,200,1.74255,21.203200000000002,301.46,0.049971765952236985
1.5–2.0,20.0–23.0,NO,285,1.7516140350877192,21.24357894736842,304.24912280701756,0.0712097664819377
1.5–2.0,23.0–26.0,SSO,13,1.853076923076923,23.64076923076923,211.53846153846155,0.0032481647868954043
1.5–2.0,23.0–26.0,SO,38,1.7492105263157895,23.477105263157895,217.6578947368421,0.009494635530925027
1.5–2.0,23.0–26.0,ONO,43,1.7265116279069765,23.54139534883721,302.69767441860466,0.010743929679730951
1.5–2.0,23.0–26.0,NO,29,1.8431034482758621,23.54448275862069,304.0,0.007245906063074363
2.0–2.5,2.0–5.0,SSO,15,2.0686666666666667,4.316,209.93333333333334,0.003747882446417774
2.0–2.5,2.0–5.0,SO,2,2.2199999999999998,4.955,215.0,0.0004997176595223699
2.0–2.5,5.0–8.0,SSE,4,2.41,7.675,167.75,0.0009994353190447398
2.0–2.5,5.0–8.0,S,938,2.22772921108742,7.519328358208956,178.59381663113007,0.23436758231599147
2.0–2.5,5.0–8.0,SSO,34,2.152058823529412,5.554117647058824,208.85294117647058,0.008495200211880287
2.0–2.5,5.0–8.0,SO,11,2.1263636363636365,6.184545454545455,221.0,0.002748447127373034
2.0–2.5,8.0–11.0,S,4187,2.2447504179603537,9.263919273943158,183.1079531884404,1.0461589202100814
2.0–2.5,8.0–11.0,SSO,656,2.1968597560975613,10.530411585365853,198.3155487804878,0.16390739232333731
2.0–2.5,8.0–11.0,SO,18,2.0805555555555553,10.99,224.61111111111111,0.004497458935701329
2.0–2.5,11.0–14.0,S,812,2.230332512315271,12.066477832512314,188.29433497536945,0.20288536976608215
2.0–2.5,11.0–14.0,SSO,25759,2.192609573353003,13.022384021118834,205.16743662409255,6.436113595818362
2.0–2.5,11.0–14.0,SO,11818,2.17379844305297,13.17615247926891,219.82805889321375,2.9528316501176834
2.0–2.5,11.0–14.0,OSO,116,2.1225862068965515,13.432241379310346,239.9051724137931,0.028983624252297453
2.0–2.5,14.0–17.0,S,596,2.230855704697986,15.113775167785233,189.61073825503357,0.14891586253766623
2.0–2.5,14.0–17.0,SSO,38178,2.2538150243595787,14.971381947718582,207.1180784745141,9.539110402622518
2.0–2.5,14.0–17.0,SO,38929,2.2166051015952117,15.18066094685196,220.60083742197332,9.726754383773168
2.0–2.5,14.0–17.0,OSO,1686,2.1430071174377225,15.467989323843415,244.21886120996442,0.4212619869773578
2.0–2.5,14.0–17.0,O,567,2.150705467372134,15.83668430335097,268.005291005291,0.14166995647459185
2.0–2.5,14.0–17.0,ONO,497,2.105050301810865,16.134849094567404,293.4567404426559,0.12417983839130892
2.0–2.5,14.0–17.0,NO,19,2.0510526315789472,16.386315789473684,304.36842105263156,0.004747317765462514
2.0–2.5,17.0–20.0,S,132,2.271060606060606,18.035,188.78787878787878,0.032981365528476414
2.0–2.5,17.0–20.0,SSO,4812,2.260074812967581,17.986832917705737,207.4129260182876,1.202320688810822
2.0–2.5,17.0–20.0,SO,8961,2.2428668675371055,18.063832161589108,220.5551835732619,2.2389849734899783
2.0–2.5,17.0–20.0,OSO,341,2.1967448680351906,17.91724340175953,244.68621700879766,0.08520186094856406
2.0–2.5,17.0–20.0,O,387,2.2139793281653746,17.717364341085272,272.11369509043925,0.09669536711757856
2.0–2.5,17.0–20.0,ONO,1492,2.143941018766756,18.00735924932976,296.8424932975871,0.3727893740036879
2.0–2.5,17.0–20.0,NO,534,2.095262172284644,18.74565543071161,304.17790262172286,0.13342461509247275
2.0–2.5,20.0–23.0,S,20,2.2635,20.981,188.55,0.004997176595223698
2.0–2.5,20.0–23.0,SSO,317,2.2247634069400632,20.897476340694006,206.198738170347,0.07920524903429563
2.0–2.5,20.0–23.0,SO,668,2.2197455089820357,21.02251497005988,219.14970059880238,0.16690569828047153
2.0–2.5,20.0–23.0,OSO,5,2.148,21.05,246.0,0.0012492941488059246
2.0–2.5,20.0–23.0,O,9,2.1855555555555557,21.08,270.44444444444446,0.0022487294678506646
2.0–2.5,20.0–23.0,ONO,124,2.135403225806452,21.194193548387098,300.1693548387097,0.03098249489038693
2.0–2.5,20.0–23.0,NO,130,2.1093846153846156,21.23623076923077,304.05384615384617,0.03248164786895404
2.0–2.5,23.0–26.0,S,9,2.221111111111111,23.565555555555555,188.44444444444446,0.0022487294678506646
2.0–2.5,23.0–26.0,SSO,12,2.1933333333333334,23.305833333333336,208.91666666666666,0.0029983059571342193
2.0–2.5,23.0–26.0,SO,27,2.171481481481482,23.524814814814814,220.7037037037037,0.006746188403551993
2.0–2.5,23.0–26.0,ONO,8,2.0725,23.3975,303.0,0.0019988706380894795
2.0–2.5,23.0–26.0,NO,4,2.1225,23.6725,304.0,0.0009994353190447398
2.0–2.5,26.0–29.0,SO,2,2.46,26.32,217.0,0.0004997176595223699
2.5–3.0,5.0–8.0,SSE,1,2.51,7.87,167.0,0.00024985882976118494
2.5–3.0,5.0–8.0,S,355,2.693380281690141,7.667183098591549,177.69014084507043,0.08869988456522065
2.5–3.0,8.0–11.0,S,3719,2.7196343102984675,9.142955095455768,182.04006453347674,0.9292249878818467
2.5–3.0,8.0–11.0,SSO,128,2.68890625,10.32625,194.9609375,0.03198193020943167
2.5–3.0,11.0–14.0,S,435,2.7231264367816093,12.088505747126437,187.48045977011495,0.10868859094611545
2.5–3.0,11.0–14.0,SSO,6046,2.6732914323519683,13.10827158451869,203.78597419781673,1.510646484736124
2.5–3.0,11.0–14.0,SO,1391,2.6491876347951115,13.302379583033789,218.45363048166786,0.3475536321978082
2.5–3.0,14.0–17.0,S,311,2.6930868167202573,15.266109324758844,189.524115755627,0.07770609605572851
2.5–3.0,14.0–17.0,SSO,24823,2.70798815614551,15.322740603472587,206.49921443822262,6.202245731161893
2.5–3.0,14.0–17.0,SO,11962,2.6825238254472494,15.514321183748537,219.33196789834477,2.9888113216032943
2.5–3.0,14.0–17.0,OSO,91,2.6416483516483513,15.97032967032967,242.4945054945055,0.02273715350826783
2.5–3.0,14.0–17.0,O,24,2.5845833333333332,16.635833333333334,266.25,0.0059966119142684385
2.5–3.0,14.0–17.0,ONO,4,2.5275,16.13,282.75,0.0009994353190447398
2.5–3.0,17.0–20.0,S,155,2.7421290322580645,17.99090322580645,189.92903225806452,0.03872811861298366
2.5–3.0,17.0–20.0,SSO,4698,2.7298275862068966,17.853263090676883,206.63537675606642,1.1738367822180469
2.5–3.0,17.0–20.0,SO,4332,2.6814796860572483,18.013250230840256,219.78739612188366,1.082388450525453
2.5–3.0,17.0–20.0,OSO,123,2.6755284552845526,17.79739837398374,245.34146341463415,0.030732636060625748
2.5–3.0,17.0–20.0,O,38,2.6742105263157896,17.921842105263156,267.60526315789474,0.009494635530925027
2.5–3.0,17.0–20.0,ONO,67,2.676268656716418,18.71223880597015,296.5820895522388,0.01674054159399939
2.5–3.0,17.0–20.0,NO,10,2.542,19.419999999999998,304.0,0.002498588297611849
2.5–3.0,20.0–23.0,S,13,2.7646153846153845,21.299230769230768,189.23076923076923,0.0032481647868954043
2.5–3.0,20.0–23.0,SSO,184,2.7444565217391306,20.839347826086957,206.28804347826087,0.045974024676058024
2.5–3.0,20.0–23.0,SO,258,2.6820542635658917,20.98313953488372,218.84883720930233,0.06446357807838571
2.5–3.0,20.0–23.0,OSO,2,2.59,20.869999999999997,241.5,0.0004997176595223699
2.5–3.0,23.0–26.0,S,1,2.53,23.26,189.0,0.00024985882976118494
2.5–3.0,23.0–26.0,SSO,10,2.7649999999999997,23.26,206.7,0.002498588297611849
2.5–3.0,23.0–26.0,SO,30,2.6373333333333333,24.057666666666666,218.6,0.007495764892835548
3.0–3.5,5.0–8.0,S,20,3.1384999999999996,7.804,176.4,0.004997176595223698
3.0–3.5,8.0–11.0,SSE,5,3.4579999999999997,8.834,166.8,0.0012492941488059246
3.0–3.5,8.0–11.0,S,1570,3.2122101910828027,9.348955414012739,181.72547770700638,0.39227836272506034
3.0–3.5,8.0–11.0,SSO,34,3.231470588235294,9.92470588235294,194.61764705882354,0.008495200211880287
3.0–3.5,11.0–14.0,S,160,3.185625,12.0705625,187.38125,0.03997741276178959
3.0–3.5,11.0–14.0,SSO,871,3.166107921928817,13.14873708381171,201.62456946039035,0.21762704072199207
3.0–3.5,11.0–14.0,SO,130,3.163076923076923,13.352692307692307,217.23076923076923,0.03248164786895404
3.0–3.5,14.0–17.0,S,70,3.218857142857143,15.296999999999999,188.92857142857142,0.017490118083282945
3.0–3.5,14.0–17.0,SSO,7705,3.1860324464633356,15.561369240752757,205.98961713173264,1.92516228330993
3.0–3.5,14.0–17.0,SO,2228,3.1779488330341112,15.60936265709156,218.5516157989228,0.55668547270792
3.0–3.5,14.0–17.0,OSO,13,3.17,16.154615384615383,238.0,0.0032481647868954043
3.0–3.5,17.0–20.0,S,12,3.0749999999999997,17.66583333333333,189.83333333333334,0.0029983059571342193
3.0–3.5,17.0–20.0,SSO,2578,3.217098525989139,17.906353762606674,206.41698991466254,0.6441360631243348
3.0–3.5,17.0–20.0,SO,1375,3.1931999999999996,17.95032727272727,218.20436363636364,0.3435558909216293
3.0–3.5,17.0–20.0,OSO,39,3.174871794871795,18.035128205128206,239.74358974358975,0.009744494360686213
3.0–3.5,17.0–20.0,O,6,3.028333333333333,17.646666666666665,270.8333333333333,0.0014991529785671096
3.0–3.5,20.0–23.0,S,3,3.206666666666667,20.84,189.0,0.0007495764892835548
3.0–3.5,20.0–23.0,SSO,141,3.1815602836879435,20.819007092198582,205.7304964539007,0.03523009499632707
3.0–3.5,20.0–23.0,SO,58,3.2091379310344825,21.13241379310345,217.89655172413794,0.014491812126148727
3.0–3.5,20.0–23.0,OSO,5,3.2340000000000004,21.19,242.0,0.0012492941488059246
3.0–3.5,23.0–26.0,SSO,8,3.1825,23.466250000000002,210.25,0.0019988706380894795
3.0–3.5,23.0–26.0,SO,5,3.042,23.37,219.8,0.0012492941488059246
3.5–4.0,8.0–11.0,SSE,4,3.5774999999999997,8.85,166.25,0.0009994353190447398
3.5–4.0,8.0–11.0,S,614,3.684527687296417,9.752214983713355,181.34364820846906,0.15341332147336756
3.5–4.0,8.0–11.0,SSO,3,3.8766666666666665,10.64,192.0,0.0007495764892835548
3.5–4.0,11.0–14.0,S,29,3.6537931034482756,11.832413793103449,184.93103448275863,0.007245906063074363
3.5–4.0,11.0–14.0,SSO,162,3.6640740740740743,13.351049382716049,201.52469135802468,0.04047713042131196
3.5–4.0,14.0–17.0,S,7,3.5100000000000002,15.358571428571427,187.57142857142858,0.0017490118083282945
3.5–4.0,14.0–17.0,SSO,1760,3.6877215909090912,15.665505681818182,205.56875,0.4397515403796855
3.5–4.0,14.0–17.0,SO,411,3.6824817518248176,16.024087591240875,217.5839416058394,0.102691979031847
3.5–4.0,17.0–20.0,S,1,3.59,19.23,191.0,0.00024985882976118494
3.5–4.0,17.0–20.0,SSO,1250,3.692128,17.895088,207.1944,0.31232353720148115
3.5–4.0,17.0–20.0,SO,317,3.6785804416403782,18.034826498422714,217.15457413249212,0.07920524903429563
3.5–4.0,20.0–23.0,SSO,42,3.714523809523809,20.82761904761905,206.07142857142858,0.010494070849969768
3.5–4.0,20.0–23.0,SO,14,3.7407142857142857,20.77785714285714,216.42857142857142,0.003498023616656589
4.0–4.5,8.0–11.0,S,64,4.1490625,9.79953125,179.890625,0.015990965104715836
4.0–4.5,11.0–14.0,S,9,4.239999999999999,11.436666666666667,179.11111111111111,0.0022487294678506646
4.0–4.5,14.0–17.0,SSO,251,4.144342629482072,15.91776892430279,203.17131474103584,0.06271456627005742
4.0–4.5,14.0–17.0,SO,1,4.03,16.95,218.0,0.00024985882976118494
4.0–4.5,17.0–20.0,SSO,288,4.138229166666666,17.882118055555555,205.72222222222223,0.07195934297122127
4.0–4.5,17.0–20.0,SO,66,4.186060606060606,18.646060606060605,216.16666666666666,0.016490682764238207
4.0–4.5,20.0–23.0,SSO,4,4.012499999999999,20.5175,211.5,0.0009994353190447398
4.0–4.5,20.0–23.0,SO,2,4.050000000000001,20.205,214.0,0.0004997176595223699
4.5–5.0,8.0–11.0,S,22,4.649545454545454,10.213181818181818,178.77272727272728,0.005496894254746068
4.5–5.0,11.0–14.0,S,7,4.727142857142858,11.327142857142857,177.85714285714286,0.0017490118083282945
4.5–5.0,14.0–17.0,SSO,33,4.6478787878787875,15.645454545454545,201.06060606060606,0.008245341382119104
4.5–5.0,17.0–20.0,SSO,67,4.621940298507463,17.769850746268656,206.98507462686567,0.01674054159399939
4.5–5.0,17.0–20.0,SO,9,4.564444444444444,18.685555555555556,218.11111111111111,0.0022487294678506646
